,pvalue,FoldChange,log(pvalue),log2FC,sig,size
NEFM,0.8296356046584732,1.0211501821384794,0.08111261802825243,-0.030195061213614215,normal,0.10211501821384794
MAP2,0.9174574382191758,0.9889032084451042,0.037414073969932,0.01609877464097333,normal,0.09889032084451041
NDUFV1,0.45111139723303395,1.01958432916939,0.3457162004064176,-0.027981104675823203,normal,0.101958432916939
CAMK2B,0.9545564136211364,1.0030987288465587,0.020198400009571307,-0.004463608549855825,normal,0.10030987288465587
INA,0.7926994303584931,1.0274085553460988,0.10089145389471968,-0.03900999233070024,normal,0.10274085553460988
ATP2A2,0.36486451565382927,1.0223303986838526,0.4378683712340955,-0.031861524562945547,normal,0.10223303986838525
SRSF5,0.8878890015014869,1.0063609385482692,0.05164132369042077,-0.009147830850943896,normal,0.10063609385482693
IQSEC1,0.7111005791951628,1.025688809730636,0.1480689676244481,-0.03659308888180634,normal,0.1025688809730636
NAPG,0.9613460802524002,0.995686568774775,0.017120240128675055,0.006236425724903238,normal,0.0995686568774775
HNRNPR,0.5294806212298137,1.0287849629735266,0.27614993026276413,-0.04094146107353688,normal,0.10287849629735266
DDX19A,0.9272716148348347,0.9899653116313438,0.03279303441446515,0.014550120820579673,normal,0.09899653116313438
RPS14,0.48174546137112395,1.0136271547652183,0.3171823682361033,-0.0195270794733204,normal,0.10136271547652183
THEM4,0.8700566405722012,1.0082296304472258,0.060452473947754125,-0.011824258855985478,normal,0.10082296304472257
TMSB4X,0.9624305794021083,0.9960551789855737,0.016630586567408963,0.005702428654439947,normal,0.09960551789855737
OTOF,0.4964321365325617,1.014761237230645,0.30414011221157283,-0.021140316194424736,normal,0.1014761237230645
SLC2A3,0.6142406090376491,1.035438408266354,0.21166147461069096,-0.050241739235446906,normal,0.1035438408266354
TOLLIP,0.6343700972726024,1.0379579259589933,0.1976572968373262,-0.05374796465866123,normal,0.10379579259589933
HNRNPD,0.7679069802781924,1.0101197184128372,0.11469138465413284,-0.014526289932479435,normal,0.10101197184128372
SFPQ,0.975399044429776,1.0029814916262405,0.010817674209983173,-0.004294983631642569,normal,0.10029814916262406
SPARCL1,0.6603006242516737,1.0120854567293995,0.1802582921425143,-0.01733111097548283,normal,0.10120854567293995
SRSF2,0.6794875452681242,1.0410041733725854,0.1678184993007283,-0.05797585239512439,normal,0.10410041733725854
ATP2B2,0.6269510473418973,1.0332531087973682,0.20276636778053972,-0.04719370442360634,normal,0.10332531087973681
ACOT6,0.9287401275691068,1.004595688181039,0.032105789721325655,-0.006614987953176303,normal,0.10045956881810389
ADSSL1,0.7109605515690628,1.0527051271571253,0.14815449591041302,-0.07410138017798215,normal,0.10527051271571253
ATP1A1,0.35689892191206174,1.0207979213116107,0.44745476391979416,-0.029697296405384578,normal,0.10207979213116107
ENDOD1,0.1470149635755842,1.0166076358162053,0.8326384593499723,-0.023762972130355282,normal,0.10166076358162053
MINK1,0.6665334772374604,1.0109031636298484,0.17617803287521472,-0.01564480531006248,normal,0.10109031636298485
FBL,0.8541971006015231,1.0085331505604067,0.06844190703105894,-0.012258506224615913,normal,0.10085331505604067
INPP4B,0.8698867747537932,0.9754214945450186,0.06053727186380492,0.03590233070321625,normal,0.09754214945450186
ATPIF1,0.6648183418736666,1.0297310545657912,0.17729700717726207,-0.04226758312734829,normal,0.10297310545657912
