,ivl,module,name
Tk1,1770,11,MMT00053497
Tk1,2471,11,MMT00074527
Abcg2,744,11,MMT00022959
3930402F23Rik,836,11,MMT00025633
Aldh1a7,1078,11,MMT00032979
,1636,11,MMT00049743
Ugdh,2742,11,MMT00081439
,18,11,MMT00000549
Aox1,1396,11,MMT00042972
Ephx1,1870,11,MMT00056256
Lbp,1392,11,MMT00042929
Socs3,842,11,MMT00025842
Slc37a1,2439,11,MMT00073735
Prtn3,498,11,MMT00014842
A230035L05Rik,1645,11,MMT00050031
Ppm1f,2042,11,MMT00061739
Ntf3,2066,11,MMT00062460
Il13ra1,1597,11,MMT00048535
Dnajc12,2754,11,MMT00082041
Mesp1,2087,11,MMT00063274
9030624L02Rik,491,11,MMT00014558
Gstm2,540,11,MMT00015943
Gpld1,570,11,MMT00016835
Spon2,678,11,MMT00020602
5430432M24Rik,897,11,MMT00027530
Gne,26,11,MMT00000887
LOC13909,561,11,MMT00016621
Egfr,1687,11,MMT00051292
Slc16a1,183,11,MMT00006142
Tceal1,2043,11,MMT00061767
2600011E07Rik,1480,11,MMT00045775
S100a10,2341,11,MMT00071189
Mgst3,729,11,MMT00022295
Gsta2,805,11,MMT00024723
Cyp2c55,2529,11,MMT00075972
Lrg1,2765,11,MMT00082551
,2297,11,MMT00069884
,1091,11,MMT00033222
Cd36,2663,11,MMT00078976
Tgm1,846,11,MMT00025886
BC038881,1818,11,MMT00054735
,131,11,MMT00004397
Impa2,592,11,MMT00017837
5730469M10Rik,1147,11,MMT00035158
C86987,623,11,MMT00018643
Ppm1l,526,11,MMT00015563
Tusc3,70,11,MMT00002209
Plekhm1,1206,11,MMT00036859
Sgcd,2597,11,MMT00077598
BC043118,2346,11,MMT00071297
Mafa,2510,11,MMT00075602
AU020772,360,11,MMT00010988
,1568,11,MMT00047746
4932431F02Rik,2756,11,MMT00082110
4933428G20Rik,503,11,MMT00014940
AI428795,2085,11,MMT00063198
3110041P15Rik,946,11,MMT00029126
Dok4,1907,11,MMT00057508
Tgfb1i1,1150,11,MMT00035243
Hlx,2041,11,MMT00061735
mKIAA1236,2580,11,MMT00077244
Plxnd1,1994,11,MMT00060423
Bace2,2321,11,MMT00070429
Kcnq1,573,11,MMT00016958
2810432L12Rik,2314,11,MMT00070277
Grasp,2612,11,MMT00078014
Cmya4,2729,11,MMT00081171
Gm644,2728,11,MMT00081127
BC024988,1544,11,MMT00047197
A830073O21Rik,120,11,MMT00003982
Ehd3,1963,11,MMT00059241
E030006K04Rik,451,11,MMT00013227
Flt1,2098,11,MMT00063623
Bmp2,739,11,MMT00022754
D330012D11Rik,2664,11,MMT00079074
Ednrb,2130,11,MMT00064537
Slc43a3,2296,11,MMT00069854
Kdr,681,11,MMT00020651
Ptprb,1807,11,MMT00054464
Rdhs,4,11,MMT00000102
AY053573,616,11,MMT00018532
Slc27a3,519,11,MMT00015440
Cth,1359,11,MMT00041929
Aass,2394,11,MMT00072521
,1165,11,MMT00035676
Arl10b,567,11,MMT00016764
Paics,2697,11,MMT00080077
Sfxn3,589,11,MMT00017674
Fmnl3,2672,11,MMT00079316
Adamts10,2435,11,MMT00073627
Itpr3,1283,11,MMT00039375
Kctd11,2204,11,MMT00067152
Slco3a1,2164,11,MMT00065847
Igsf4a,612,11,MMT00018374
Agpat4,862,11,MMT00026351
Ccnd2,1565,11,MMT00047668
A330042H22,2253,11,MMT00068519
A330042H22,873,11,MMT00026749
4933431N12Rik,100,11,MMT00003456
Tpm4,2351,11,MMT00071405
H2-DMb1,1888,11,MMT00056860
Ii,2339,11,MMT00071068
Mylip,2134,11,MMT00064719
Vcam1,1292,11,MMT00039701
P4ha1,2255,11,MMT00068530
Fmnl2,2442,11,MMT00073829
Slc9a9,1204,11,MMT00036738
Il16,629,11,MMT00018890
Fyn,1084,11,MMT00033108
4933426L22Rik,701,11,MMT00021232
Cysltr1,1951,11,MMT00058920
Tm4sf13,963,11,MMT00029582
Abcg3,1767,11,MMT00053434
Pira3,577,11,MMT00017147
Pla2g7,165,11,MMT00005471
BC067047,1925,11,MMT00058337
Sgk,1826,11,MMT00054925
C730007L20Rik,1926,11,MMT00058342
Tgfbr2,2234,11,MMT00067955
Blnk,400,11,MMT00011935
Rragd,2050,11,MMT00061884
Ctsd,814,11,MMT00025056
Soat1,2489,11,MMT00075035
2610020H15Rik,1448,11,MMT00044866
Ctsb,1629,11,MMT00049477
Prss11,1094,11,MMT00033268
0610039P13Rik,2330,11,MMT00070750
Actg,462,11,MMT00013585
Dck,2301,11,MMT00070040
Atp6v1a1,1145,11,MMT00035101
Arp3b,1096,11,MMT00033297
Rerg,1838,11,MMT00055125
2810404F18Rik,1701,11,MMT00051624
Lmo2,1278,11,MMT00039138
C820005L12Rik,1921,11,MMT00058222
5730403B10Rik,1224,11,MMT00037543
Fkbp5,990,11,MMT00030357
D16H22S680E,2140,11,MMT00064977
Dsip1,1039,11,MMT00031585
4631416L12Rik,1663,11,MMT00050576
Slc38a2,906,11,MMT00027763
